type,price,beds,bath,propertysqft,state,administrative_area_level_2,locality,sublocality,latitude,longitude,borough,price_per_sqft,price_range
Multi-Family,309000,6,2,2184.207862,"Far Rockaway, NY 11691",United States,New York,Queens County,40.5980695,-73.7632649,Queens,141.47,< $500K
House,650000,3,2,1522.0,"Bellerose, NY 11426",United States,New York,Queens County,40.723245,-73.7293286,Queens,427.07,$500K–$1M
House,799000,4,2,1975.0,"Staten Island, NY 10312",United States,New York,Richmond County,40.5387812,-74.193378,Staten Island,404.56,$500K–$1M
Co-Op,259000,3,2,1089.0,"Bronx, NY 10465",United States,New York,Bronx County,40.8246371,-73.8072061,Bronx,237.83,< $500K
House,1195000,4,4,2704.0,"Staten Island, NY 10309",United States,New York,Richmond County,40.5143019,-74.2044734,Staten Island,441.94,$1M–$2M
Condo,17500000,5,6,5499.0,"New York, NY 10007",United States,New York,New York County,40.7143354,-74.0087443,Manhattan,3182.4,$10M–$50M
Condo,189000,2,2,966.0,"Staten Island, NY 10305",New York,Richmond County,Staten Island,40.6109595,-74.060351,Staten Island,195.65,< $500K
Condo,759000,3,2,1200.0,"Bayside, NY 11360",New York,Queens County,Queens,40.7881763,-73.7877051,Queens,632.5,$500K–$1M
House,275000,4,1,2184.207862,"Brooklyn, NY 11210",United States,New York,Kings County,40.6366859,-73.9488175,Brooklyn,125.9,< $500K
Condo,499000,1,1,630.0,"Manhattan, NY 10021",New York,New York County,New York,40.7702318,-73.9610161,Manhattan,792.06,< $500K
House,1249000,3,2,2184.207862,"Bronx, NY 10463",United States,New York,Bronx County,40.8822913,-73.9137305,Bronx,571.83,$1M–$2M
Co-Op,69900,2,1,700.0,"Bronx, NY 10465",United States,New York,Bronx County,40.8224987,-73.8111568,Bronx,99.86,< $500K
Multi-Family,1150000,12,6,5508.0,"Astoria, NY 11103",United States,New York,Queens County,40.755049,-73.9136386,Queens,208.79,$1M–$2M
Co-Op,1399000,3,4,1993.0,"Floral Park, NY 11005",New York,Queens County,Queens,40.7566899,-73.72075,Queens,701.96,$1M–$2M
Condo,649000,3,2,1182.0,"Fresh Meadows, NY 11365",New York,Queens County,Queens,40.7302938,-73.8059248,Queens,549.07,$500K–$1M
House,499000,5,2,1760.0,"Bronx, NY 10458",United States,New York,Bronx County,40.8663864,-73.8878945,Bronx,283.52,< $500K
Multi-Family,1050000,5,4,3132.0,"Bronx, NY 10465",United States,New York,Bronx County,40.8176549,-73.8197053,Bronx,335.25,$1M–$2M
Townhouse,5000000,10,9,6425.0,"Manhattan, NY 10024",United States,New York,New York County,40.7832598,-73.976047,Manhattan,778.21,$2M–$5M
House,56000000,11,10,24000.0,"New York, NY 10019",United States,New York,New York County,40.7616,-73.9761913,Manhattan,2333.33,$10M–$50M
Townhouse,650000,3,2,1638.0,"Bronx, NY 10465",United States,New York,Bronx County,40.8454501,-73.8209766,Bronx,396.83,$500K–$1M
Condo,500000,4,3,1794.0,"New York, NY 10024",New York,New York County,New York,40.7905714,-73.9753392,Manhattan,278.71,< $500K
House,350000,2,1,490.0,"Staten Island, NY 10306",United States,New York,Richmond County,40.5731273,-74.089182,Staten Island,714.29,< $500K
House,1099000,4,2,2184.207862,"Queens, NY 11697",United States,New York,Queens County,40.5595612,-73.9147409,Queens,503.16,$1M–$2M
Co-Op,90000,1,1,450.0,"Bronx, NY 10452",New York,Bronx County,The Bronx,40.8423705,-73.9234444,Bronx,200.0,< $500K
House,839000,4,2,2184.207862,"Howard Beach, NY 11414",United States,New York,Queens County,40.6590909,-73.8451972,Queens,384.12,$500K–$1M
House,659000,8,3,2184.207862,"Jamaica, NY 11435",United States,New York,Queens County,40.688533,-73.796529,Queens,301.71,$500K–$1M
House,659000,8,3,2184.207862,"Jamaica, NY 11435",United States,New York,Queens County,40.688533,-73.796529,Queens,301.71,$500K–$1M
House,399999,3,1,2184.207862,"Far Rockaway, NY 11691",United States,New York,Queens County,40.5950021,-73.7577376,Queens,183.13,< $500K
Condo,250000,3,1,2184.207862,"Brooklyn, NY 11229",New York,Kings County,Brooklyn,40.5997081,-73.9344974,Brooklyn,114.46,< $500K
For Sale,1740000,2,2,1132.0,"New York, NY 10025",United States,New York,New York County,40.7986579,-73.9679035,Manhattan,1537.1,$1M–$2M
House,650000,4,2,2244.0,"Cambria Heights, NY 11411",United States,New York,Queens County,40.6968706,-73.7390395,Queens,289.66,$500K–$1M
House,1165000,3,4,3500.0,"Staten Island, NY 10309",United States,New York,Richmond County,40.5397292,-74.2155251,Staten Island,332.86,$1M–$2M
House,729900,3,2,1150.0,"Staten Island, NY 10309",United States,New York,Richmond County,40.5302132,-74.1981906,Staten Island,634.7,$500K–$1M
House,1880000,3,4,3150.0,"Brooklyn, NY 11224",United States,New York,Kings County,40.5805262,-74.0061062,Brooklyn,596.83,$1M–$2M
Co-Op,449000,2,2,1549.0,"Floral Park, NY 11005",New York,Queens County,Queens,40.7577991,-73.7159564,Queens,289.86,< $500K
House,1175000,3,2,2250.0,"Rockaway Park, NY 11694",United States,New York,Queens County,40.57372,-73.8577786,Queens,522.22,$1M–$2M
Townhouse,2750000,3,2,2184.207862,"New York, NY 10014",United States,New York,New York County,40.7336687,-74.000518,Manhattan,1259.04,$2M–$5M
House,995000,3,2,2184.207862,"Howard Beach, NY 11414",United States,New York,Queens County,40.657686,-73.8489131,Queens,455.54,$500K–$1M
Condo,2000000,3,2,2000.0,"Manhattan, NY 10280",New York County,New York,Manhattan,40.7086444,-74.0161953,Manhattan,1000.0,$1M–$2M
Townhouse,15000000,8,6,2184.207862,"Brooklyn, NY 11201",United States,New York,Kings County,40.6948972,-73.9925741,Brooklyn,6867.48,$10M–$50M
House,2800000,4,6,8333.0,"Staten Island, NY 10304",United States,New York,Richmond County,40.5861193,-74.1075476,Staten Island,336.01,$2M–$5M
House,2600000,5,4,3024.0,"Bayside, NY 11360",United States,New York,Queens County,40.7780417,-73.7739629,Queens,859.79,$2M–$5M
Townhouse,3500000,6,6,6000.0,"New York, NY 10031",United States,New York,New York County,40.8229141,-73.9460622,Manhattan,583.33,$2M–$5M
Co-Op,550000,1,1,2184.207862,"New York, NY 10024",New York,New York County,New York,40.7887084,-73.9700091,Manhattan,251.81,$500K–$1M
House,675000,3,2,2400.0,"Brooklyn, NY 11234",United States,New York,Kings County,40.610206,-73.91065,Brooklyn,281.25,$500K–$1M
House,879000,4,2,1238.0,"Staten Island, NY 10309",United States,New York,Richmond County,40.5273247,-74.1983282,Staten Island,710.02,$500K–$1M
House,918888,3,2,2184.207862,"East Elmhurst, NY 11369",United States,New York,Queens County,40.760703,-73.880887,Queens,420.7,$500K–$1M
Townhouse,2400000,4,2,1892.0,"Brooklyn, NY 11215",United States,New York,Kings County,40.6674938,-73.9832146,Brooklyn,1268.5,$2M–$5M
House,1730000,6,2,3024.0,"Little Neck, NY 11362",United States,New York,Queens County,40.765022,-73.7422005,Queens,572.09,$1M–$2M
Multi-Family,425000,5,2,2184.207862,"Bronx, NY 10474",United States,New York,Bronx County,40.8159966,-73.8881001,Bronx,194.58,< $500K
House,2500000,5,2,1450.0,"Flushing, NY 11354",United States,New York,Queens County,40.7679673,-73.8246067,Queens,1724.14,$2M–$5M
House,998000,4,4,2000.0,"Staten Island, NY 10307",United States,New York,Richmond County,40.515251,-74.235145,Staten Island,499.0,$500K–$1M
House,1195000,4,4,2688.0,"Staten Island, NY 10301",United States,New York,Richmond County,40.6296431,-74.1005274,Staten Island,444.57,$1M–$2M
House,1649000,3,2,2052.0,"Brooklyn, NY 11228",United States,New York,Kings County,40.6164182,-74.0142443,Brooklyn,803.61,$1M–$2M
House,955000,4,4,2100.0,"Staten Island, NY 10312",United States,New York,Richmond County,40.551184,-74.1840649,Staten Island,454.76,$500K–$1M
Multi-Family,949000,6,3,2184.207862,"Jamaica, NY 11436",United States,New York,Queens County,40.677393,-73.800094,Queens,434.48,$500K–$1M
House,880000,3,2,1743.0,"Flushing, NY 11358",United States,New York,Queens County,40.7668312,-73.7911175,Queens,504.88,$500K–$1M
Townhouse,39995000,4,2,10582.0,"Manhattan, NY 10013",United States,New York,New York County,40.7164224,-74.0101197,Manhattan,3779.53,$10M–$50M
Townhouse,1250000,8,2,2184.207862,"New York, NY 10022",United States,New York,New York County,40.7600248,-73.9653546,Manhattan,572.29,$1M–$2M
Contingent,899999,3,2,1784.0,"Staten Island, NY 10306",United States,New York,Richmond County,40.5788586,-74.11209,Staten Island,504.48,$500K–$1M
Condo,198000,1,1,750.0,"Queens, NY 11415",New York,Queens County,Queens,40.7127599,-73.83433,Queens,264.0,< $500K
House,549000,5,3,496.0,"Bronx, NY 10469",United States,New York,Bronx County,40.8679701,-73.836565,Bronx,1106.85,$500K–$1M
House,1088888,3,4,1320.0,"Brooklyn, NY 11204",United States,New York,Kings County,40.6090909,-73.9762651,Brooklyn,824.92,$1M–$2M
House,888000,4,2,2686.0,"Bronx, NY 10465",United States,New York,Bronx County,40.8130775,-73.8063357,Bronx,330.6,$500K–$1M
For Sale,65000,3,1,230.0,"Manhattan, NY 10038",New York,New York County,New York,40.7120703,-73.9983258,Manhattan,282.61,< $500K
House,1449999,3,2,2184.207862,"Long Island City, NY 11105",United States,New York,Queens County,40.7697773,-73.9014478,Queens,663.86,$1M–$2M
Townhouse,14900000,5,5,2184.207862,"New York, NY 10023",United States,New York,New York County,40.7758194,-73.9785263,Manhattan,6821.7,$10M–$50M
House,2499000,5,2,4100.0,"Forest Hills, NY 11375",United States,New York,Queens County,40.7107701,-73.8406935,Queens,609.51,$2M–$5M
Townhouse,1970000,4,4,2508.0,"Brooklyn, NY 11201",United States,New York,Kings County,40.6965326,-73.9839654,Brooklyn,785.49,$1M–$2M
Co-Op,1895000,2,2,2184.207862,"Brooklyn, NY 11215",New York,Kings County,Brooklyn,40.673976,-73.973535,Brooklyn,867.59,$1M–$2M
House,689000,3,2,1248.0,"Staten Island, NY 10314",United States,New York,Richmond County,40.6137764,-74.1600305,Staten Island,552.08,$500K–$1M
House,649999,3,2,1440.0,"Staten Island, NY 10305",United States,New York,Richmond County,40.5803331,-74.0885167,Staten Island,451.39,$500K–$1M
House,669000,3,2,864.0,"Staten Island, NY 10304",United States,New York,Richmond County,40.5993523,-74.0953882,Staten Island,774.31,$500K–$1M
House,800000,3,2,825.0,"Brooklyn, NY 11234",United States,New York,Kings County,40.6222734,-73.924094,Brooklyn,969.7,$500K–$1M
Co-Op,2375000,1,2,2184.207862,"Manhattan, NY 10012",New York,New York County,New York,40.7252187,-73.9929764,Manhattan,1087.35,$2M–$5M
For Sale,2400000,6,6,6688.0,"Brooklyn, NY 11216",United States,New York,Kings County,40.6738566,-73.9506085,Brooklyn,358.85,$2M–$5M
House,390000,2,1,586.0,"Staten Island, NY 10306",United States,New York,Richmond County,40.574103,-74.0931668,Staten Island,665.53,< $500K
Condo,2250000,1,1,2184.207862,"Manhattan, NY 10014",New York,New York County,New York,40.737308,-74.0046666,Manhattan,1030.12,$2M–$5M
House,1450000,4,2,2700.0,"Staten Island, NY 10312",United States,New York,Richmond County,40.5273093,-74.1753435,Staten Island,537.04,$1M–$2M
Condo,725000,2,2,792.0,"Brooklyn, NY 11207",New York,Kings County,Brooklyn,40.6898164,-73.9062474,Brooklyn,915.4,$500K–$1M
Co-Op,269000,1,1,2184.207862,"Bronx, NY 10471",New York,Bronx County,The Bronx,40.8968048,-73.9087471,Bronx,123.16,< $500K
Co-Op,695000,2,2,2184.207862,"Manhattan, NY 10065",New York,New York County,New York,40.7651716,-73.9678719,Manhattan,318.19,$500K–$1M
